Participaciones,Vistas,Horas,%Avance del curso,Nombre alumno,Matricula,Global Actividad 1,Global Actividad 2,Global Actividad 3,Global Actividad 4,Actividad 1,Actividad 2,Actividad 3,Actividad 4,Actividad 5,Actividad 6,Quiz 1,Actividad 7,Quiz 2,Quiz 3,Fase 1,Fase 2,Fase 3,Fase 4,Evidencia 1,Evidencia 2,Final,Completadas,Faltantes
26,1286,11:51:23,34,NA,A00000104,100,100,,,80,100,100,100,,,80,,,,,,,,,,18.8,8,13
12,456,04:10:34,34,NA,A00000105,0,0,,,0,100,0,0,,,88.33,,,,,,,,,,7.53,3,18
23,1152,13:41:15,34,NA,A00000106,0,100,,,90,100,0,100,,,95,,,,,,,,,,15.6,6,15
14,378,01:10:44,34,NA,A00000107,0,0,,,90,0,0,0,,,0,,,,,,,,,,1.8,1,20
25,1151,14:56:42,34,NA,A00000108,100,,,,90,100,100,100,,,90,,,,,,,,,,14.4,6,15
25,466,15:24:24,34,NA,A00000109,100,0,,,90,100,100,80,,,100,,,,,,,,,,14.2,6,15
22,1225,11:51:33,34,NA,A00000110,100,100,,,90,100,100,100,,,95,,,,,,,,,,19.6,8,13
24,1217,16:51:43,34,NA,A00000111,100,100,,,85,100,100,100,,,90,,,,,,,,,,19.3,8,13
24,1251,20:05:06,34,NA,A00000112,100,100,,,80,100,100,80,,,85,,,,,,,,,,16.4,7,14
27,821,08:58:14,34,NA,A00000113,100,100,,,100,0,100,100,,,93.33,,,,,,,,,,17.73,7,14
15,259,02:25:04,34,NA,A00000114,0,0,,,90,100,100,0,,,0,,,,,,,,,,5.8,3,18
24,643,04:15:58,34,NA,A00000115,0,100,,,80,95,100,86,,,71.67,,,,,,,,,,15.95,7,14
23,636,21:10:17,34,NA,A00000116,100,100,,,90,100,100,100,,,95,,,,,,,,,,19.6,8,13
21,1534,11:50:40,34,NA,A00000117,100,100,,,100,100,100,90,,,95,,,,,,,,,,17.5,7,14
18,418,03:52:27,34,NA,A00000118,0,0,,,90,75,0,75,,,98.33,,,,,,,,,,9.48,4,17
24,916,19:15:00,34,NA,A00000119,100,,,,80,100,100,95,,,100,,,,,,,,,,14.45,6,15
22,1209,21:10:21,34,NA,A00000120,100,100,,,80,100,100,100,,,95,,,,,,,,,,19.4,8,13
21,626,07:57:01,34,NA,A00000121,100,,,,80,95,100,100,,,62.5,,,,,,,,,,13,6,15
19,1036,06:28:25,34,NA,A00000122,100,,,,90,50,50,10,,,90,,,,,,,,,,9.7,6,15
19,433,04:30:23,34,NA,A00000123,0,0,,,90,92,65,0,,,100,,,,,,,,,,8.94,4,17
22,733,08:41:26,34,NA,A00000124,100,,,,100,100,100,100,,,78.33,,,,,,,,,,14.13,6,15
22,598,05:59:41,34,NA,A00000125,0,100,,,100,100,0,0,,,90,,,,,,,,,,10.6,4,17
22,605,20:36:33,34,NA,A00000126,100,100,,,70,98,100,90,,,90,,,,,,,,,,18.66,8,13
24,993,16:58:45,34,NA,A00000127,100,,,,80,100,90,,,,75,,,,,,,,,,10.4,5,16
18,833,14:13:46,34,NA,A00000128,100,80,,,90,96,100,70,,,95,,,,,,,,,,16.02,7,14
22,592,02:13:32,34,NA,A00000129,0,80,,,90,80,80,0,,,98.33,,,,,,,,,,11.73,6,15
25,619,06:12:27,34,NA,A00000130,100,,,,65,100,100,85,,,80,,,,,,,,,,13.05,6,15
19,544,05:53:05,34,NA,A00000131,100,,,,80,100,0,50,,,100,,,,,,,,,,11.1,5,16
17,353,01:48:10,34,NA,A00000132,0,0,,,50,0,0,0,,,70,,,,,,,,,,3.8,2,19
26,1031,16:20:41,34,NA,A00000133,100,,,,80,100,100,100,,,80,,,,,,,,,,13.8,6,15
22,990,13:42:28,34,NA,A00000134,100,100,,,90,100,100,100,,,85,,,,,,,,,,19.2,8,13
18,762,09:13:43,34,NA,A00000135,100,100,,,90,100,100,100,,,93.33,,,,,,,,,,19.53,8,13
23,1421,34:45:20,34,NA,A00000136,100,,,,100,100,100,100,,,95,,,,,,,,,,14.8,6,15
36,1108,17:14:16,34,NA,A00000137,100,95,,,80,85,100,100,,,83.33,,,,,,,,,,18.48,8,13
26,776,14:39:59,34,NA,A00000138,100,100,,,90,100,100,100,,,90,,,,,,,,,,17.4,7,14
25,1127,12:31:03,34,NA,A00000139,100,100,,,90,98,80,85,,,85,,,,,,,,,,16.31,7,14
22,1421,41:17:40,34,NA,A00000140,100,100,,,90,100,100,100,,,76.67,,,,,,,,,,18.87,8,13
22,897,07:06:48,34,NA,A00000141,100,,,,90,100,100,100,,,90,,,,,,,,,,14.4,6,15
21,2436,15:18:52,34,NA,A00000142,100,0,,,90,100,100,100,,,76.67,,,,,,,,,,13.87,6,15
24,1031,24:03:27,34,NA,A00000143,100,100,,,90,100,100,100,,,95,,,,,,,,,,17.6,7,14
19,779,09:44:43,34,NA,A00000144,100,100,,,100,100,100,90,,,90,,,,,,,,,,17.3,7,14
24,987,08:39:19,34,NA,A00000145,100,100,,,85,100,100,95,,,90,,,,,,,,,,17.15,7,14
28,752,11:31:37,34,NA,A00000146,100,50,,,70,95,80,90,,,61.67,,,,,,,,,,14.57,8,13
26,1602,47:53:33,34,NA,A00000147,100,100,,,90,100,100,100,,,83.33,,,,,,,,,,19.13,8,13
27,1502,10:31:24,34,NA,A00000148,100,,,,90,100,100,100,,,95,,,,,,,,,,14.6,6,15
24,788,06:09:30,34,NA,A00000149,100,0,,,100,90,75,90,,,98.33,,,,,,,,,,13.93,6,15
22,941,16:03:32,34,NA,A00000150,100,100,,,70,98,100,100,,,90,,,,,,,,,,16.96,7,14
11,268,09:38:12,34,NA,A00000151,95,0,,,100,98,0,76,,,0,,,,,,,,,,8.14,4,17
20,993,09:08:05,34,NA,A00000152,100,100,,,100,100,100,100,,,95,,,,,,,,,,17.8,7,14
25,1115,10:15:16,34,NA,A00000153,100,80,,,90,98,100,100,,,100,,,,,,,,,,17.16,7,14
19,956,15:59:54,34,NA,A00000154,100,,,,90,0,100,85,,,95,,,,,,,,,,12.15,5,16
20,567,07:43:09,34,NA,A00000155,100,100,,,90,100,100,100,,,85,,,,,,,,,,17.2,7,14
20,518,03:59:36,34,NA,A00000156,0,,,,80,100,80,75,,,83.33,,,,,,,,,,10.78,5,16
21,836,06:21:39,34,NA,A00000157,100,,,,90,90,100,100,,,83.33,,,,,,,,,,13.93,6,15
24,1120,11:44:00,34,NA,A00000158,100,100,,,90,95,90,50,,,81.67,,,,,,,,,,17.07,8,13
23,813,07:13:12,34,NA,A00000159,100,,,,80,100,100,100,,,85,,,,,,,,,,14,6,15
